City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Khatanga,100,RU,2019-06-24 16:25:31,54,71.98,102.47,68.27,4.75
Hamilton,40,BM,2019-06-24 16:25:31,57,32.3,-64.78,78.80000000000001,3.6
Egvekinot,21,RU,2019-06-24 16:25:31,59,66.32,-179.17,45.59,1.79
Thinadhoo,34,MV,2019-06-24 16:25:31,75,0.53,72.93,83.75,3.63
Conceicao do Araguaia,87,BR,2019-06-24 16:25:31,39,-8.26,-49.26,88.61,2.99
Tenenkou,7,ML,2019-06-24 16:25:31,12,14.46,-4.91,106.97,1.94
Kavieng,44,PG,2019-06-24 16:25:31,75,-2.57,150.8,83.57,2.77
Fukuma,0,JP,2019-06-24 16:25:31,82,33.77,130.47,68.0,1.5
Darovskoy,99,RU,2019-06-24 16:25:31,55,58.77,47.96,64.49000000000001,2.16
Mutoko,24,ZW,2019-06-24 16:25:31,31,-17.4,32.23,72.59,2.24
Tura,35,IN,2019-06-24 16:25:31,76,25.52,90.21,84.11,2.78
Cheyenne,1,US,2019-06-24 16:25:31,32,41.14,-104.82,73.004,8.7
Tomatlan,0,MX,2019-06-24 16:25:31,67,19.93,-105.25,80.15,2.26
Ponta Delgada,40,PT,2019-06-24 16:25:31,56,37.73,-25.67,69.80000000000001,5.7
Maningrida,0,AU,2019-06-24 16:25:31,75,-12.05,134.23,59.99,4.22
Eregli,0,TR,2019-06-24 16:25:31,28,37.51,34.05,82.85,4.96
Lata,100,IN,2019-06-24 16:25:31,78,30.78,78.62,45.77,1.75
Sechura,100,PE,2019-06-24 16:25:31,86,-5.56,-80.82,64.49000000000001,3.42
Pacific Grove,90,US,2019-06-24 16:25:31,87,36.62,-121.92,60.998000000000005,2.05
Charters Towers,0,AU,2019-06-24 16:25:31,65,-20.07,146.27,55.31,4.98
Amberley,62,NZ,2019-06-24 16:25:31,93,-43.15,172.73,41.0,2.6
Iqaluit,20,CA,2019-06-24 16:25:31,44,63.75,-68.52,60.008,4.6
Laguna,5,MX,2019-06-24 16:25:31,37,27.52,-110.01,86.0,1.0
Elizabeth City,75,US,2019-06-24 16:25:31,65,36.3,-76.22,87.008,2.65
Nurlat,84,RU,2019-06-24 16:25:31,75,54.43,50.8,69.35,3.83
Husavik,18,CA,2019-06-24 16:25:31,49,50.56,-96.99,75.00200000000001,0.77
New Norfolk,0,AU,2019-06-24 16:25:31,93,-42.78,147.06,35.6,4.6
Gondanglegi,7,ID,2019-06-24 16:25:31,93,-7.75,112.01,68.45,2.85
Peniche,20,PT,2019-06-24 16:25:31,60,39.36,-9.38,73.994,4.1
Antofagasta,75,CL,2019-06-24 16:25:31,55,-23.65,-70.4,62.6,2.6
Tuyen Quang,100,VN,2019-06-24 16:25:31,87,21.82,105.22,79.25,0.73
Clyde River,90,CA,2019-06-24 16:25:31,58,70.47,-68.59,53.6,7.7
Marsh Harbour,11,BS,2019-06-24 16:25:31,75,26.54,-77.06,83.03,4.75
Cidreira,100,BR,2019-06-24 16:25:31,58,-30.17,-50.22,74.93,4.41
Hualmay,100,PE,2019-06-24 16:25:31,83,-11.1,-77.61,62.150000000000006,5.05
Kalabo,0,ZM,2019-06-24 16:25:31,20,-15.0,22.67,80.87,1.79
Samarai,85,PG,2019-06-24 16:25:31,96,-10.62,150.67,74.75,2.97
Honiara,20,SB,2019-06-24 16:25:31,94,-9.43,159.96,73.4,2.1
Point Pedro,19,LK,2019-06-24 16:25:31,83,9.82,80.23,84.65,12.35
Talnakh,0,RU,2019-06-24 16:25:31,67,69.49,88.39,62.6,5.0
Ostringen,0,DE,2019-06-24 16:25:31,40,49.22,8.71,91.004,4.1
Coripata,0,BO,2019-06-24 16:25:31,17,-16.31,-67.6,51.8,3.1
Biltine,0,TD,2019-06-24 16:25:31,15,14.53,20.93,103.19,1.45
Kuldur,100,RU,2019-06-24 16:25:31,96,49.22,131.63,62.87,3.12
Healdsburg,75,US,2019-06-24 16:25:31,93,38.61,-122.87,71.99600000000001,1.5
Nikolskoye,0,RU,2019-06-24 16:25:31,48,59.7,30.79,68.0,9.0
Kotma,100,IN,2019-06-24 16:25:31,51,23.2,81.98,89.15,1.06
Naryan-Mar,100,RU,2019-06-24 16:25:31,82,67.67,53.09,42.17,6.56
Bodo,98,CI,2019-06-24 16:25:31,92,5.91,-4.68,77.63,2.7
Luderitz,0,NA,2019-06-24 16:25:31,46,-26.65,15.16,69.80000000000001,0.5
Barrow,100,AR,2019-06-24 16:25:31,52,-38.31,-60.23,54.59,2.04
Kerema,100,PG,2019-06-24 16:25:31,85,-7.96,145.78,79.07,7.57
Moranbah,0,AU,2019-06-24 16:25:31,62,-22.0,148.04,52.61,5.28
Bazaliya,61,UA,2019-06-24 16:25:31,77,49.71,26.47,74.75,3.21
Phonhong,75,LA,2019-06-24 16:25:31,83,18.5,102.42,82.4,7.2
Oktyabrskoye,0,RU,2019-06-24 16:25:31,66,56.73,85.44,59.0,3.0
Avarua,73,CK,2019-06-24 16:25:31,73,-21.21,-159.78,71.6,3.6
Dikson,78,RU,2019-06-24 16:25:31,61,73.51,80.55,46.31,5.27
Zhigalovo,83,RU,2019-06-24 16:25:31,51,54.81,105.15,60.89,2.16
Vao,67,EE,2019-06-24 16:25:31,42,59.1,26.19,67.00999999999999,4.92
Nokaneng,0,BW,2019-06-24 16:25:31,16,-19.66,22.19,78.35,1.8
Miri,100,NG,2019-06-24 16:25:31,43,10.31,9.75,86.63,1.98
Prinos,75,GR,2019-06-24 16:25:31,38,39.57,21.61,87.99799999999999,6.2
Timbuktu,20,ML,2019-06-24 16:25:31,5,16.77,-3.01,112.55,6.04
Provideniya,69,RU,2019-06-24 16:25:31,88,64.42,-173.23,43.61,0.57
Tiznit,0,MA,2019-06-24 16:25:31,86,29.7,-9.73,67.37,4.1
Roswell,1,US,2019-06-24 16:25:31,50,33.39,-104.52,75.2,3.1
Bathsheba,40,BB,2019-06-24 16:25:31,70,13.22,-59.52,86.0,10.8
Katsuura,20,JP,2019-06-24 16:25:31,73,33.93,134.5,71.6,1.5
Lavrentiya,51,RU,2019-06-24 16:25:31,92,65.58,-170.99,34.97,2.0
Sonoita,1,US,2019-06-24 16:25:31,14,31.68,-110.66,87.99799999999999,6.2
Antsohihy,12,MG,2019-06-24 16:25:31,72,-14.88,47.99,78.53,3.56
Petatlan,75,MX,2019-06-24 16:25:31,79,17.52,-101.27,84.2,2.6
High Prairie,100,CA,2019-06-24 16:25:31,95,55.43,-116.48,53.69,3.27
Mitsamiouli,20,KM,2019-06-24 16:25:31,78,-11.38,43.28,78.80000000000001,3.1
Pevek,0,RU,2019-06-24 16:25:31,71,69.7,170.27,39.65,4.5
Jalu,0,LY,2019-06-24 16:25:31,13,29.03,21.55,102.47,6.17
La Ronge,90,CA,2019-06-24 16:25:31,76,55.1,-105.3,57.2,4.1
Sumbe,0,AO,2019-06-24 16:25:31,75,-11.2,13.84,77.0,5.1
Acajutla,100,SV,2019-06-24 16:25:31,67,13.59,-89.83,83.57,2.27
Palmer,0,AU,2019-06-24 16:25:31,58,-34.85,139.16,53.006,5.1
Ewa Beach,90,US,2019-06-24 16:25:31,94,21.32,-158.01,78.80000000000001,2.1
Taoudenni,0,ML,2019-06-24 16:25:31,5,22.68,-3.98,115.25,5.57
Tuatapere,66,NZ,2019-06-24 16:25:31,96,-46.13,167.69,44.996,1.34
Karpogory,13,RU,2019-06-24 16:25:31,47,64.0,44.44,56.21,4.17
Kalmunai,100,LK,2019-06-24 16:25:31,74,7.42,81.82,81.77,1.57
Guerrero Negro,100,MX,2019-06-24 16:25:31,84,27.97,-114.04,63.59,4.65
Alberton,0,ZA,2019-06-24 16:25:31,30,-26.25,28.13,60.008,1.17
San Quintin,100,PH,2019-06-24 16:25:31,87,17.54,120.52,78.89,1.5
Yangcun,61,CN,2019-06-24 16:25:31,79,29.98,118.17,68.63,1.69
Nanao,4,JP,2019-06-24 16:25:31,99,37.05,136.95,68.0,4.38
Kloulklubed,75,PW,2019-06-24 16:25:31,94,7.04,134.26,77.0,3.1
Fort Nelson,75,CA,2019-06-24 16:25:31,77,58.81,-122.69,59.0,3.1
Marzuq,100,YE,2019-06-24 16:25:31,17,14.4,46.47,88.07,6.83
Labytnangi,99,RU,2019-06-24 16:25:31,94,66.66,66.39,36.05,2.53
Kuching,75,MY,2019-06-24 16:25:31,94,1.56,110.34,80.6,0.5
East London,0,ZA,2019-06-24 16:25:31,63,-33.02,27.91,62.6,1.5
Flinders,75,AU,2019-06-24 16:25:31,100,-34.58,150.85,57.002,2.1
Abu Dhabi,0,AE,2019-06-24 16:25:31,53,24.47,54.37,96.8,3.1
Hienghene,98,NC,2019-06-24 16:25:31,95,-20.68,164.93,64.31,0.94
Bougouni,5,ML,2019-06-24 16:25:31,28,11.42,-7.49,99.41000000000001,1.95
Zhireken,8,RU,2019-06-24 16:25:31,91,52.82,117.29,52.97,0.74
Leningradskiy,3,RU,2019-06-24 16:25:31,81,69.38,178.42,35.87,0.51
Ancud,40,CL,2019-06-24 16:25:31,86,-41.87,-73.83,39.2,5.7
Gizo,20,IL,2019-06-24 16:25:31,70,31.8,34.94,84.992,6.2
Kigorobya,12,UG,2019-06-24 16:25:31,64,1.62,31.31,78.17,1.45
Upernavik,98,GL,2019-06-24 16:25:31,87,72.79,-56.15,37.13,3.25
College,90,US,2019-06-24 16:25:31,93,64.86,-147.8,59.0,0.89
Adrar,0,DZ,2019-06-24 16:25:31,3,27.87,-0.29,113.0,2.6
Skarnes,0,NO,2019-06-24 16:25:31,37,60.25,11.68,73.994,3.6
Seoul,1,KR,2019-06-24 16:25:31,82,37.57,126.98,69.80000000000001,1.0
Gushikawa,40,JP,2019-06-24 16:25:31,94,26.35,127.87,78.80000000000001,1.5
Pyay,100,MM,2019-06-24 16:25:31,82,18.82,95.22,82.31,1.25
Fortuna,0,ES,2019-06-24 16:25:31,57,38.18,-1.13,89.6,3.1
Honningsvag,75,NO,2019-06-24 16:25:31,66,70.98,25.97,53.6,9.8
Ulladulla,75,AU,2019-06-24 16:25:31,100,-35.36,150.48,51.8,2.1
Te Anau,0,NZ,2019-06-24 16:25:31,82,-45.41,167.72,40.730000000000004,0.87
Koson,0,UZ,2019-06-24 16:25:31,16,39.04,65.59,91.4,4.1
Sinnamary,99,GF,2019-06-24 16:25:31,89,5.38,-52.96,76.91,3.18
Naro-Fominsk,0,RU,2019-06-24 16:25:31,27,55.39,36.74,78.99799999999999,5.0
Bubaque,74,GW,2019-06-24 16:25:31,76,11.28,-15.83,79.78999999999999,5.06
Taonan,90,CN,2019-06-24 16:25:31,45,45.34,122.78,78.89,3.96
Quang Ngai,100,VN,2019-06-24 16:25:31,90,15.12,108.8,75.83000000000001,1.24
Gat,0,SN,2019-06-24 16:25:31,43,14.69,-16.54,87.80000000000001,5.7
Balikpapan,100,ID,2019-06-24 16:25:31,98,-1.24,116.86,72.59,1.08
Utinga,40,BR,2019-06-24 16:25:31,58,-5.82,-35.4,86.0,5.1
Hollister,40,US,2019-06-24 16:25:31,87,36.85,-121.4,75.00200000000001,0.8
Ribeira Grande,20,PT,2019-06-24 16:25:31,64,38.52,-28.7,69.80000000000001,3.6
Sola,90,NO,2019-06-24 16:25:31,87,58.89,5.65,60.008,3.1
Cabo San Lucas,5,MX,2019-06-24 16:25:31,39,22.89,-109.91,89.99600000000001,1.0
Ngaoundere,75,CM,2019-06-24 16:25:31,78,7.32,13.58,73.4,2.1
Churapcha,93,RU,2019-06-24 16:25:31,79,62.0,132.43,56.75,3.85
Jati,0,PK,2019-06-24 16:25:31,64,24.35,68.27,87.53,6.41
Gorno-Altaysk,78,RU,2019-06-24 16:25:31,91,51.96,85.96,50.629999999999995,2.64
Creel,0,MX,2019-06-24 16:25:31,17,27.75,-107.63,68.99000000000001,1.43
Saskylakh,3,RU,2019-06-24 16:25:31,46,71.97,114.09,64.67,3.88
Malindi,0,KE,2019-06-24 16:25:31,75,-3.22,40.12,77.63,5.62
Half Moon Bay,75,US,2019-06-24 16:25:31,82,37.46,-122.43,71.006,2.1
Faanui,42,PF,2019-06-24 16:25:31,81,-16.48,-151.75,77.45,11.34
Shijak,40,AL,2019-06-24 16:25:31,83,41.34,19.57,75.2,1.5
Caravelas,18,BR,2019-06-24 16:25:31,65,-17.73,-39.27,79.25,1.45
Kindu,43,CD,2019-06-24 16:25:31,28,-2.95,25.92,92.21000000000001,0.51
Tamandare,48,BR,2019-06-24 16:25:31,52,-8.28,-70.75,86.63,0.78
Houston,1,US,2019-06-24 16:25:31,83,29.76,-95.37,77.0,7.2
Nanortalik,24,GL,2019-06-24 16:25:31,60,60.14,-45.24,52.43,7.03
Matagami,100,NG,2019-06-24 16:25:31,74,9.67,8.4,75.83000000000001,0.18
Belluno,20,IT,2019-06-24 16:25:31,51,46.14,12.22,89.6,3.1
Qaqortoq,75,GL,2019-06-24 16:25:31,30,60.72,-46.03,68.0,5.7
Waipawa,48,NZ,2019-06-24 16:25:31,94,-39.94,176.59,39.992000000000004,0.89
Ahuimanu,75,US,2019-06-24 16:25:31,100,21.44,-157.84,78.80000000000001,1.05
Nome,90,US,2019-06-24 16:25:31,88,30.04,-94.42,71.99600000000001,5.1
Felipe Carrillo Puerto,14,MX,2019-06-24 16:25:31,52,19.58,-88.05,88.97,2.52
Salisbury,75,GB,2019-06-24 16:25:31,60,51.07,-1.8,78.008,2.6
Sioux Lookout,90,CA,2019-06-24 16:25:31,100,50.1,-91.92,62.6,1.0
Coahuayana,100,MX,2019-06-24 16:25:31,93,18.62,-100.35,72.77,0.91
Srednekolymsk,0,RU,2019-06-24 16:25:31,51,67.46,153.71,61.43000000000001,2.83
Igarka,0,RU,2019-06-24 16:25:31,57,67.47,86.57,64.85,3.32
Berlevag,75,NO,2019-06-24 16:25:31,66,70.86,29.09,51.8,5.1
Imperial Beach,90,US,2019-06-24 16:25:31,82,32.58,-117.11,69.008,3.1
Arman,76,RU,2019-06-24 16:25:31,98,59.7,150.17,38.03,0.96
Port Hardy,90,CA,2019-06-24 16:25:31,93,50.7,-127.42,51.8,2.1
Dudinka,0,RU,2019-06-24 16:25:31,67,69.41,86.18,62.6,5.0
Tigil,100,RU,2019-06-24 16:25:31,84,57.8,158.67,41.629999999999995,2.07
Igrim,38,RU,2019-06-24 16:25:31,53,63.19,64.42,55.31,2.47
Coihaique,20,CL,2019-06-24 16:25:31,94,-45.58,-72.07,41.0,1.5
Kaliua,10,TZ,2019-06-24 16:25:31,36,-5.06,31.79,82.67,1.84
Vagamo,100,NO,2019-06-24 16:25:31,30,61.88,9.1,59.269999999999996,0.81
Camden,75,US,2019-06-24 16:25:31,48,39.94,-75.12,84.992,1.5
Rodez,0,FR,2019-06-24 16:25:31,39,44.35,2.57,82.994,6.7
Hastings,48,NZ,2019-06-24 16:25:31,87,-39.64,176.84,44.33,2.8
Kabompo,66,ZM,2019-06-24 16:25:31,33,-13.6,24.21,76.73,1.61
Beya,62,RU,2019-06-24 16:25:31,68,53.05,90.92,50.629999999999995,2.19
Kaitangata,30,NZ,2019-06-24 16:25:31,83,-46.28,169.85,46.004000000000005,2.68
Worcester,20,GB,2019-06-24 16:25:31,64,52.19,-2.22,77.0,2.6
Mujiayingzi,35,CN,2019-06-24 16:25:31,34,42.12,118.78,70.07,3.73
Oksfjord,75,NO,2019-06-24 16:25:31,66,70.24,22.35,55.400000000000006,4.1
Reconquista,100,AR,2019-06-24 16:25:31,57,-29.14,-59.64,75.65,5.84
Canchungo,0,GW,2019-06-24 16:25:31,43,12.07,-16.03,91.4,1.5
Saint-Joseph,0,FR,2019-06-24 16:25:31,45,43.56,6.97,89.6,3.1
Koumac,81,NC,2019-06-24 16:25:31,83,-20.56,164.28,69.89,2.2
Portree,100,GB,2019-06-24 16:25:31,79,57.41,-6.19,60.008,4.47
Kasongo-Lunda,39,CD,2019-06-24 16:25:31,19,-6.48,16.82,89.50999999999999,1.2
Yiyang,4,CN,2019-06-24 16:25:31,87,28.59,112.35,71.15,0.72
Tubuala,40,PA,2019-06-24 16:25:31,70,9.52,-79.03,87.80000000000001,3.1
Sipoo,0,FI,2019-06-24 16:25:31,30,60.38,25.27,71.006,5.7
Saint George,75,GR,2019-06-24 16:25:31,38,39.45,22.34,87.99799999999999,6.2
Norman Wells,20,CA,2019-06-24 16:25:31,72,65.28,-126.83,62.6,3.1
